Parent Agency No.,No.,Name,Address,City,State,Latitude,Longitude,,
D1001,D1001FP,ACTS of Vance County,201 S William St,Henderson,NC,36.32569,-78.403458,,
D1002,D1002GH,Alliance Rehabilitative Care - Men,1020 County Home Rd,Henderson,NC,36.3201881,-78.3946617,,
D1005,D1005FP,Alston Chapel United Holy,1832 Alston Chapel Rd,Pittsboro,NC,35.7088751,-79.2215055,,
D1006,D1006FP,Anathoth House,315 Dabney Dr,Henderson,NC,36.3221517,-78.4187021,,
D1008,D1008FP,Area Congregations in Ministry,634 Roxboro Rd,Oxford,NC,36.3240512,-78.6077973,,
D1009,D1009FP,Believers United for Progress,1306 Fayetteville St,Durham,NC,35.978597,-78.900195,,
D1011,D1011FP,Belton Creek Baptist Church,4153 Hwy 96 S,Oxford,NC,36.404618,-78.685721,,
D1013,D1013FP,Birchwood Learning Center,416 Walton St,Durham,NC,35.9812758,-78.846854,,
D1014,D1014AS,Boys and Girls Club of Greater,1010 Martin Luther Pkwy,Durham,NC,35.9503675,-78.9251945,,
D1015,D1015FP,ata,242 Baptist Church Rd,Henderson,NC,36.365653,-78.34409,,
D1018,D1018FP,Catholic Charities,2020 Chapel Hill Rd Ste 30,Durham,D1075,35.9631,-78.9315,,
D1019,D1019FP,Cedar Grove Mt. Zion AME,5124 Hwy 86 N,Hillsborough,NC,36.168526,-79.131059,,
D1020,D1020FP,Chatham Out-Reach Alliance,40 Camp Dr,Pittsboro,NC,35.7240783,-79.1863239,,
D1021,D1021FP,Christian Assembly Emergency,5516 N Roxboro Rd,Durham,NC,35.927259,-78.951652,,
D1022,D1022FP,Christian Faith Center,101 Peachtree St,Creedmoor,NC,36.117852,-78.677201,,
D1023,D1023FP,Christian Help Center,122 Depot St,Roxboro,NC,36.3939645,-78.9825006,,
D1025,D1025FP,Church of Philadelphia,1309 Jackson St,Durham,NC,35.9954352,-78.9202996,,
D1026,D1026FP,CIP,103 South Drivers St. ,Durham,NC,35.957366,-78.821694,,
D1029,D1029FP,Cotton Memorial,511 N Chestnut St,Henderson,NC,36.3321526,-78.3997148,,
D1030,D1030DD,DD-Carr United Methodist,8200 NC 49 North,Cedar Grove,NC,36.2140321,-79.2191119,,
D1033,D1033FP,Divine Grace Fellowship,1500-A E Club Blvd Bldg 100,Durham,NC,36.0257375,-78.8545431,,
D1035,D1035SOF,Durham Center For Senior Life,406 Riggsbee Ave,Durham,NC,35.999206,-78.899862,,
D1037,D1037OTH,Durham Exchange Club,1717 Lawson St,Durham,NC,35.974353,-78.883365,,
D1038,D1038SH1,Durham Rescue Mission Ministries,1201 E Main St,Durham,NC,35.986812,-78.886742,,
D1038,D1038SH2,Durham Rescue Mission's Opportunity Place,507 E Knox St,Durham,NC,36.0133607,-78.8855612,,
D1040,D1040OTH,Durham Tech Community College,1637 Lawson St,Durham,NC,35.974398,-78.884033,,
D1041,D1041FP,Emanuel Tabernacle Holiness,2525 Atlantic St,Durham,NC,35.9693196,-78.903474,,
D1043,D1043FP,Faith Gospel Tabernacle,663 Troy St,Durham,NC,35.9766267,-78.8829114,,
D1045,D1045FP,Feed My Sheep of Durham Food,107 N Driver St,Durham,NC,35.9859983,-78.8780851,,
D1045,D1045TF,Feed My Sheep of Durham Food,107 N Driver Street,Durham,NC,35.9859983,-78.8780851,,
D1047,D1047FP,First Baptist Church,119 S Main St,Creedmoor,NC,36.117632,-78.6867117,,
D1049,D1049FP,First Calvary Baptist Church,1311 Morehead Ave,Durham,NC,35.9916228,-78.9193637,,
D1050,D1050FP,Fisher Memorial,420 E Piedmont Ave,Durham,NC,35.9840851,-78.9000339,,
D1050,D1050TF,Fisher Memorial,2311 Wintergreen Place,Durham,NC,35.9601504,-78.8842387,,
D1054,D1054GH1,Freedom House,104 New Stateside Dr,Chapel Hill,NC,35.9562308,-79.0597715,,
D1059,D1059FP,Gang Free INC,940 County Home Rd,Henderson,NC,36.3199675,-78.3956605,,
D1060,D1060DD,DD-Grace and Peace Tabernacle,600 E Washington St,Mebane,NC,36.093288,-79.2595423,,
D1062,D1062FP,Grace Outreach Enrichment,612 Gary St,Durham,NC,35.9909619,-78.8701246,,
D1062,D1062TF,Grace Outreach Enrichment,612 Gary St. ,Durham,NC,35.9909619,-78.8701246,,
D1063,D1063FP,Greater Deliverance Tabernacle,199 Flat River Rd,Roxboro,NC,36.342345,-78.985731,,
D1064,D1064FP,Hannah's Community Kitchen,5524 N Roxboro Rd,Durham,NC,36.09178,-78.910602,,
D1065,D1065FP,Greater Ransom Way of the,90 South Lake Lodge Ext,Henderson,NC,36.271241,-78.430762,,
D1066,D1066FP,Greater Refuge Temple,1438 Maplewood Dr,Durham,NC,36.0323597,-78.8658755,,
D1072,D1072FP,Healing With CAARE,214 Broadway St,Durham,NC,36.001165,-78.8987418,,
D1073,D1073FP,Hillsborough Church Of God,2412 Hwy 86 S,Hillsborough,NC,36.048648,-79.079527,,
D1075,D1075FP,Iglesia Presbiteriana Emanuel,2504 N Roxboro St,Durham,NC,36.0217092,-78.8897933,,
D1076,D1076FP,Immanuel Temple SDA Community,2102 S Alston Ave,Durham,NC,35.9607694,-78.8885445,,
D1077,D1077FP,Inter-Faith Council,100 W Rosemary St,Chapel Hill,NC,35.914075,-79.056505,,
D1081,D1081FP,Jewish Family Services,1937 Cornwallis Rd,Durham,NC,35.9348318,-78.8899389,,
D1084,D1084GH1,Just A Clean House,310 Raynor St,Durham,NC,35.9876239,-78.873418,,
D1084,D1084GH3,Just a Clean House,1917 Taylor St,Durham,NC,35.9889521,-78.8779196,,
D1084,D1084GH4,Just a Clean House,2511 Stephenson St,Durham,NC,36.0230227,-78.8838982,,
D1084,D1084GH5,Just A Clean House,1204 E Club Blvd,Durham,NC,36.0231892,-78.8770633,,
D1086,D1086FP,Kings Park Church,1305 Odyssey Dr,Durham,NC,35.930456,-78.8921857,,
D1087,D1087FP,Kitrell Shiloh Missionary,1390 S Chavis Rd,Kitrell,NC,36.224143,-78.413249,,
D1088,D1088FP,Life International,5310 S Alston Ave. Bulding 100,Durham,NC,35.886743,-78.885239,,
D1089,D1089FP,Living Stones,6096 Tabbs Creek Rd,Oxford,NC,36.346379,-78.542173,,
D1095,D1095DD,Mebane's Chapel United Holy,421 Union St,Hillsborough,NC,36.08011,-79.109243,,
D1096,D1096GH,Michael's Place,2815 Cascadilla St,Durham,NC,36.0266773,-78.8862998,,
D1097,D1097DD,DD-Ministerios Guerreros De,1800 N Roxboro St,Durham,NC,36.013486,-78.890699,,
D1099,D1099FP,Mt. Bethel United Methodist,1605 Bahama Rd,Durham,NC,36.1670143,-78.8764149,,
D1100,D1100FP,Mt. Level Community Haven,316 Hebron Rd,Durham,NC,36.058682,-78.8951257,,
D1101,D1101BP,Mt. Sylvan United Methodist,5731 N Roxboro Rd,Durham,NC,36.093751,-78.910362,,
D1103,D1103FP,Mt. Zion Christian Church,995 Burr St,Henderson,NC,36.3359682,-78.3919867,,
D1105,D1105DD,Oak Grove Community,854 Oak Grove Mt Zion Rd,Roxboro,NC,36.463615,-79.020708,,
D1106,D1106FP,Oak Grove UAFree Will Baptist,1008A Simmons St,Durham,NC,35.9823145,-78.8984215,,
D1107,D1107FP,Obedience To The Word,644 Bon Air Ave,Durham,NC,36.0303226,-78.8824789,,
D1109,D1109DC,Orange Co Head Start/Early HS,125 Lawndale Ave,Hillisborough,NC,36.08862,-79.105494,,
D1110,D1110FP,Orange Congregations Mission,300 Millstone Dr,Hillsborough,NC,36.0508098,-79.0975328,,
D1111,D1111DIS,Orange County Disability,503 W Franklin St #113,Chapel Hill,NC,35.9099143,-79.0634424,,
D1113,D1113OTH,Our Teams Our Children,2711 Fayetteville St,Durham,NC,35.977922,-78.90043,,
D1114,D1114DD,Oxford Speaks Life Church House of,305 Williamsboro St,Oxford,NC,36.3131462,-78.5856944,,
D1115,D1115DD,DD-Parkwood Elementary PTA,5207 Revere Rd,Durham,NC,35.8914633,-78.9062514,,
D1116,D1116FP,Pettiford Grove Baptist Church,3579 Cannady Mill Rd,Kittrell,NC,36.204636,-78.556778,,
D1117,D1117FP,Pine Grove Baptist Church,1624 Lake Rd/Hwy 56,Creedmoor,NC,36.142722,-78.720254,,
D1117,D1117TF,Pine Grove Baptist Church,1624 Lake Road/Hwy 56,Creedmoor,NC,36.142722,-78.720254,,
D1120,D1120AS,RAM Organization,2703 Holloway St,Durham,NC,35.9890675,-78.8518946,,
D1122,D1122GH,Recovery Connections of Durham,2913 Wadsworth Ave.,Durham,NC,35.9600833,-78.9223097,,
D1122,D1122GH2,Recovery Connections of Durham,2203 Elmwood Ave,Durham,NC,35.9881113,-78.9299916,,
D1123,D1123FP,Rogers-Eubanks Neighborhood,101 Edgar St,Chapel Hill,NC,35.9599115,-79.081604,,
D1124,D1124FP,Rougemont Food Pantry,105 Red Mountain Rd,Rougemont,NC,36.2184272,-78.9260442,,
D1126,D1126FP,Russell Memorial CME Church,703 S Alston Ave,Durham,NC,35.9798433,-78.8909168,,
D1127,D1127FP,Salvation Army-Durham,909 Liberty St,Durham,NC,35.9931292,-78.8854264,,
D1129,D1129FP,Salvation Army-Henderson,2292 Ross Mill Rd,Henderson,NC,36.3422345,-78.4302191,,
D1130,D1130FP,Seed Time & Harvest Fellowship,804 Berwyn Ave,Durham,NC,36.0330439,-78.8804301,,
